Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR,Name-additional
643,Yohan Ramírez,29,TOT,37.2,32,32,9,0,5,3,1,2,33%,6,3,5,2,40%,,1.006,8,7,17,10,3,19,5,27,11,8,14,8,3.5,20,ramiryo01
644,Yohan Ramírez,29,NYM,8.1,5,5,1,0,1,1,0,1,0%,1,0,0,0,,7,1.037,1,1,3,1,0,4,0,5,3,1,3,1,5.0,29,ramiryo01
645,Yohan Ramírez,29,BAL,6.0,5,5,2,0,0,0,0,0,,0,0,3,1,33%,7,.327,0,0,5,2,0,3,3,2,3,1,3,0,3.6,21,ramiryo01
646,Yohan Ramírez,29,LAD,29.1,27,27,8,0,4,2,1,1,50%,5,3,5,2,40%,8,.997,7,6,14,9,3,15,5,22,8,7,11,7,3.3,18,ramiryo01
647,Yohan Ramírez,29,BOS,1.1,1,1,0,0,0,0,0,0,,0,0,2,0,0%,5,.459,0,0,1,0,0,1,1,0,1,0,1,0,4.0,29,ramiryo01
648,Drew Rasmussen,28,TBR,28.2,16,12,5,0,2,1,1,0,100%,4,3,0,0,,7,1.030,4,3,5,6,2,4,0,12,11,0,11,0,5.4,30,rasmudr01
649,Colin Rea,33,MIL,167.2,32,5,1,2,0,1,1,0,100%,2,1,2,1,50%,2,.891,1,1,3,3,2,0,1,4,5,0,5,0,11.6,57,reaco01
650,Sean Reid-Foley,28,NYM,21.2,23,23,9,1,2,1,0,1,0%,5,4,7,2,29%,9,1.090,7,4,12,7,4,12,6,17,4,6,4,5,2.8,17,reidfse01
651,Gerardo Reyes,31,OAK,4.0,3,3,2,0,0,0,0,0,,0,0,0,0,,8,.331,0,0,3,0,0,3,0,3,1,0,1,0,4.0,26,reyesge01
652,Pablo Reyes,30,BOS,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,1,1,0,0,0,1,0,0,0,0,3.0,18,reyespa01
653,Sean Reynolds,26,SDP,11.0,9,9,3,0,0,0,0,0,,0,0,4,4,100%,8,.231,0,1,8,3,0,6,2,7,2,1,3,0,3.7,25,reynose01
654,Orlando Ribalta,26,WSN,3.1,4,4,3,0,0,0,0,0,,0,0,4,3,75%,9,.032,0,0,4,1,0,3,2,2,1,2,1,0,2.5,24,ribalor01
655,Trevor Richards,31,TOT,65.1,55,53,7,2,2,4,1,3,25%,11,7,19,7,37%,,.833,8,13,32,22,3,28,12,41,16,10,20,6,3.5,21,richatr01
656,Trevor Richards,31,TOR,52.1,45,43,4,2,1,3,0,3,0%,10,7,19,7,37%,8,.913,8,11,24,17,3,23,12,31,12,9,16,5,3.3,20,richatr01
657,Trevor Richards,31,MIN,13.0,10,10,3,0,1,1,1,0,100%,1,0,0,0,,9,.539,0,2,8,5,0,5,0,10,4,1,4,1,3.9,26,richatr01
658,Lyon Richardson,24,CIN,0.2,1,1,0,0,0,0,0,0,,0,0,0,0,,6,.632,0,0,1,1,0,0,0,1,0,1,0,0,2.0,26,richaly01
659,Leo Rivas,26,SEA,2.0,2,2,2,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,2,0,0,2,0,2,0,0,0,0,3.0,10,rivasle01
660,Emmanuel Rivera,28,MIA,4.0,4,4,4,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,4,0,0,4,0,4,0,0,0,0,3.0,14,riverem01
661,Daniel Robert,29,TEX,5.2,4,4,0,1,0,0,0,0,,1,0,0,0,,7,.257,0,1,3,1,0,3,0,4,2,0,2,1,4.3,26,roberda11
662,Ethan Roberts,26,CHC,26.2,21,21,6,1,1,0,0,0,,1,1,7,0,0%,7,.546,3,3,15,7,2,12,4,17,7,0,8,1,3.8,23,roberet01
663,David Robertson,39,TEX,72.0,68,68,8,3,4,10,2,8,20%,45,34,33,7,21%,8,1.896,45,14,9,52,13,3,21,47,15,8,16,14,3.2,18,roberda08
664,Nick Robertson,25,TOT,13.1,9,9,7,0,0,0,0,0,,0,0,4,2,50%,,.086,0,1,8,1,0,8,3,6,5,1,6,1,4.4,24,roberni01
665,Nick Robertson,25,STL,12.1,8,8,6,0,0,0,0,0,,0,0,4,2,50%,9,.091,0,1,7,1,0,7,3,5,5,1,6,1,4.6,26,roberni01
666,Nick Robertson,25,TOR,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,12,roberni01
667,Joely Rodríguez*,32,BOS,13.2,14,14,2,0,1,1,0,1,0%,5,4,5,2,40%,6,.951,4,5,5,8,0,6,5,9,2,6,4,3,2.9,18,rodrijo06
668,Manuel Rodríguez,27,TBR,37.2,40,40,12,3,4,3,2,1,67%,14,11,13,5,38%,8,1.437,20,6,14,18,8,14,9,31,3,8,5,10,2.8,15,rodrima01
669,Randy Rodríguez,24,SFG,52.1,35,34,8,3,2,2,0,2,0%,7,5,23,9,39%,6,.825,9,9,16,10,4,20,14,20,16,5,16,5,4.4,24,rodrira02
670,Yerry Rodríguez,26,TOT,21.2,16,16,6,1,0,0,0,0,,0,0,14,9,64%,,.737,4,1,11,3,3,10,8,8,7,3,8,0,4.1,27,rodriye01
671,Yerry Rodríguez,26,TEX,17.0,12,12,4,1,0,0,0,0,,0,0,12,7,58%,8,.865,4,0,8,3,3,6,7,5,6,3,7,0,4.3,29,rodriye01
672,Yerry Rodríguez,26,TOR,4.2,4,4,2,0,0,0,0,0,,0,0,2,2,100%,9,.369,0,1,3,0,0,4,1,3,1,0,1,0,3.5,24,rodriye01
673,Josh Rogers*,29,COL,11.0,6,6,2,2,0,0,0,0,,0,0,7,4,57%,8,.419,0,1,5,0,0,6,5,1,3,3,3,0,5.5,28,rogerjo01
674,Taylor Rogers*,33,SFG,60.0,64,64,16,1,4,0,0,0,,8,8,34,9,26%,6,.707,8,24,32,17,8,39,23,41,9,18,15,12,2.8,17,rogerta01
675,Tyler Rogers,33,SFG,70.1,77,77,13,3,4,3,1,2,33%,36,32,20,10,50%,8,1.436,37,16,24,51,14,12,11,66,3,13,3,21,2.7,13,rogerty01
676,Josh Rojas,30,SEA,2.0,2,2,2,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,2,0,0,2,0,2,0,0,0,0,3.0,14,rojasjo01
677,Miguel Rojas,35,LAD,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,7,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,14,rojasmi02
678,Jordan Romano,31,TOR,13.2,15,15,14,1,2,9,8,1,89%,9,0,1,0,0%,9,1.712,3,7,5,11,2,2,1,14,1,4,1,3,2.7,14,romanjo03
679,JoJo Romero*,27,STL,59.0,65,65,7,7,3,9,1,8,11%,39,30,34,10,29%,8,1.540,37,19,9,43,15,7,21,44,14,21,17,18,2.7,14,romerjo01
680,Ben Rortvedt,26,TBR,2.0,1,1,1,0,0,0,0,0,,0,0,0,0,,8,.001,0,0,1,0,0,1,0,1,1,0,1,0,6.0,36,rortvbe01
681,Kenny Rosenberg*,28,LAA,24.0,7,6,3,0,0,0,0,0,,0,0,1,0,0%,4,.396,1,0,5,0,1,5,2,4,6,0,6,0,10.3,56,rosenke01
682,Joe Ross,31,MIL,74.0,25,15,8,1,1,0,0,0,,0,0,0,0,,8,.843,1,3,11,6,2,7,0,15,10,2,10,1,5.4,29,rossjo01
683,Landen Roupp,25,SFG,50.1,23,19,3,0,0,0,0,0,,1,1,6,2,33%,7,.697,1,4,14,5,0,14,5,14,11,2,11,1,5.0,31,rouppla01
684,Chris Roycroft,27,STL,34.1,27,27,13,1,2,1,0,1,0%,2,1,9,5,56%,8,.767,4,5,18,5,4,18,8,19,13,6,16,3,3.8,22,roycrch01
685,José Ruiz,29,PHI,51.0,52,52,16,5,1,1,1,0,100%,1,0,13,4,31%,9,.701,6,9,37,20,3,29,11,41,7,8,7,8,2.9,16,ruizjo01
686,Jackson Rutledge,25,WSN,8.1,3,2,1,0,0,0,0,0,,0,0,0,0,,8,.681,0,0,2,0,0,2,0,2,1,0,1,0,5.5,25,rutleja01
687,Ryder Ryan,29,PIT,20.2,15,15,5,1,0,0,0,0,,3,3,5,3,60%,8,.618,2,4,9,7,0,8,3,12,6,1,6,1,4.1,23,ryanry01
688,Andrew Saalfrank*,26,ARI,1.0,2,2,1,0,0,0,0,0,,0,0,3,2,67%,8,1.111,0,1,1,0,0,2,1,1,0,2,0,0,1.5,13,saalfan01
689,Erik Sabrowski*,26,CLE,12.2,8,8,4,0,0,1,1,0,100%,1,0,6,0,0%,7,.522,2,0,6,3,0,5,4,4,7,0,7,0,4.8,25,sabroer01
