Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR,Name-additional
1,Bryan Abreu,27,HOU,78.1,78,78,3,3,3,8,1,7,13%,46,38,28,8,29%,7,1.557,43,22,13,57,17,4,19,59,11,9,11,22,3.0,17,abreubr01
2,Jason Adam,32,TOT,73.2,74,74,10,7,2,8,4,4,50%,39,31,18,7,39%,,1.610,39,21,14,48,16,10,11,63,5,6,6,18,3.0,15,adamja01
3,Jason Adam,32,TBR,47.0,47,47,9,4,2,7,4,3,57%,26,19,8,4,50%,8,1.767,27,13,7,30,11,6,6,41,3,4,3,11,3.0,15,adamja01
4,Jason Adam,32,SDP,26.2,27,27,1,3,0,1,0,1,0%,13,12,10,3,30%,8,1.333,12,8,7,18,5,4,5,22,2,2,3,7,3.0,15,adamja01
5,Austin Adams,33,OAK,41.1,56,56,6,1,2,4,0,4,0%,26,22,32,10,31%,7,1.323,19,23,14,32,7,17,26,30,2,26,2,10,2.2,14,adamsau02
6,Ty Adcock,27,NYM,4.1,3,3,1,0,0,0,0,0,,1,1,3,0,0%,8,.370,1,0,2,1,0,2,2,1,2,0,2,0,4.3,29,adcocty01
7,Joan Adon,25,WSN,10.2,8,7,5,0,0,0,0,0,,0,0,4,1,25%,9,.533,0,1,6,2,0,5,2,5,2,2,2,1,2.9,15,adonjo01
8,Keegan Akin*,29,BAL,78.2,66,66,21,3,1,4,1,3,25%,10,6,37,13,35%,7,.726,14,15,37,24,8,34,21,45,25,18,28,11,3.6,19,akinke01
9,Jorge Alcalá,28,MIN,58.1,54,54,5,4,3,1,0,1,0%,17,16,25,7,28%,7,1.238,25,13,16,24,12,18,18,36,13,11,13,12,3.2,17,alcaljo01
10,Scott Alexander*,34,OAK,38.2,45,45,9,1,3,3,0,3,0%,13,10,25,8,32%,7,1.442,21,6,18,18,10,17,17,28,2,15,5,5,2.6,13,alexasc02
11,Tyler Alexander*,29,TBR,107.2,23,14,1,5,3,0,0,0,,0,0,7,0,0%,3,.812,2,11,1,4,7,3,3,11,14,0,14,0,13.3,67,alexaty01
12,Kolby Allard*,26,PHI,27.0,7,3,0,0,0,0,0,0,,0,0,2,0,0%,5,.864,0,1,2,1,0,2,1,2,3,0,3,0,10.0,55,allarko01
13,Logan Allen*,27,ARI,28.0,12,12,4,0,1,1,1,0,100%,2,1,6,4,67%,7,.419,1,3,8,2,1,9,4,8,8,2,9,1,7.0,39,allenlo01
14,Yency Almonte,30,CHC,15.2,17,17,2,1,0,2,1,1,50%,8,6,6,1,17%,8,1.214,5,4,8,12,1,4,4,13,3,5,5,3,2.8,16,almonye01
15,Dan Altavilla,31,KCR,3.2,5,4,0,0,0,0,0,0,,0,0,3,0,0%,7,.662,0,0,4,0,0,4,1,3,0,2,1,1,2.5,14,altavda01
16,José Alvarado*,29,PHI,61.2,66,66,21,2,5,16,13,3,81%,26,10,8,0,0%,8,1.368,31,9,26,39,13,14,7,59,0,9,0,11,2.8,16,alvarjo03
17,Eddy Alvarez,34,NYM,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,13,alvared01
18,Adbert Alzolay,29,CHC,17.1,18,18,11,1,4,9,4,5,44%,11,1,6,1,17%,9,1.920,9,3,6,14,1,3,5,13,2,3,3,3,2.9,18,alzolad01
19,Chase Anderson,36,TOT,58.1,29,28,23,0,1,3,3,0,100%,3,0,7,5,71%,,.291,2,1,25,5,2,21,4,24,17,1,17,2,6.1,34,anderch01
20,Chase Anderson,36,BOS,52.0,27,26,22,0,1,3,3,0,100%,3,0,5,3,60%,7,.298,2,0,24,5,2,19,3,23,15,1,15,2,5.8,32,anderch01
21,Chase Anderson,36,TEX,6.1,2,2,1,0,0,0,0,0,,0,0,2,2,100%,6,.241,0,1,1,0,0,2,1,1,2,0,2,0,9.5,66,anderch01
22,Grant Anderson,27,TEX,26.2,23,23,10,0,1,2,1,1,50%,3,1,27,8,30%,8,.549,4,4,15,8,0,15,15,8,8,8,11,3,3.5,21,andergr01
23,Justin Anderson,31,CHW,53.1,56,56,14,1,2,6,1,5,17%,13,5,36,11,31%,7,1.112,20,13,23,21,6,29,20,36,12,16,13,11,2.9,17,anderju01
24,Nick Anderson,33,KCR,35.2,37,37,19,3,1,1,1,0,100%,3,2,6,2,33%,8,.484,2,5,30,12,2,23,4,33,2,5,3,5,2.9,15,anderni01
25,Shaun Anderson,29,TOT,16.1,6,4,3,0,0,0,0,0,,0,0,6,0,0%,,.476,0,1,3,1,0,3,2,2,3,1,3,0,8.3,34,andersh01
26,Shaun Anderson,29,TEX,3.1,2,2,1,0,0,0,0,0,,0,0,0,0,,7,.235,0,1,1,0,0,2,0,2,1,1,1,0,5.0,28,andersh01
27,Shaun Anderson,29,MIA,13.0,4,2,2,0,0,0,0,0,,0,0,6,0,0%,7,.536,0,0,2,1,0,1,2,0,2,0,2,0,11.5,41,andersh01
28,Clayton Andrews*,27,NYY,0.1,1,1,0,0,0,0,0,0,,0,0,0,0,,8,.713,0,1,0,0,0,1,0,1,0,1,0,0,1.0,15,andrecl02
29,Matt Andriese,34,MIA,6.0,4,4,4,0,1,0,0,0,,0,0,0,0,,12,.886,1,0,3,1,1,2,1,3,2,0,2,1,4.5,22,andrima01
30,Tejay Antone,30,CIN,2.0,4,4,2,0,0,0,0,0,,0,0,0,0,,10,.974,0,2,2,2,0,2,1,3,0,2,0,1,1.5,15,antonte01
31,Shawn Armstrong,33,TOT,66.2,57,50,9,3,2,3,1,2,33%,8,5,17,4,24%,,.885,6,19,25,12,5,33,11,39,13,9,15,8,3.3,18,armstsh01
32,Shawn Armstrong,33,TOT,20.0,19,19,5,1,1,0,0,0,,2,2,8,0,0%,,.564,1,4,14,3,1,15,6,13,5,5,7,5,3.2,16,armstsh01
33,Shawn Armstrong,33,TBR,46.2,38,31,4,2,1,3,1,2,33%,6,3,9,4,44%,7,1.007,5,15,11,9,4,18,5,26,8,4,8,3,3.4,20,armstsh01
34,Shawn Armstrong,33,STL,12.2,11,11,3,1,0,0,0,0,,0,0,7,0,0%,8,.252,0,2,9,0,0,11,5,6,5,3,7,3,3.5,16,armstsh01
35,Shawn Armstrong,33,CHC,7.1,8,8,2,0,1,0,0,0,,2,2,1,0,0%,9,1.042,1,2,5,3,1,4,1,7,0,2,0,2,2.8,16,armstsh01
36,Spencer Arrighetti,24,HOU,145.0,29,1,0,0,0,0,0,0,,0,0,0,0,,6,.888,0,0,1,1,0,0,0,1,1,0,1,0,7.0,52,arrigsp01
37,Aaron Ashby*,26,MIL,28.1,14,12,3,1,0,0,0,0,,3,3,6,1,17%,7,1.019,3,5,4,4,2,6,4,8,9,0,9,0,4.9,26,ashbyaa01
38,Nick Avila,26,SFG,11.2,8,8,4,1,0,0,0,0,,0,0,3,3,100%,8,.179,0,0,8,1,0,7,1,7,4,1,4,0,4.4,28,avilani01
39,Pedro Avila,27,TOT,82.2,54,54,17,6,1,1,1,0,100%,3,1,36,10,28%,,.392,5,11,38,14,2,38,20,34,33,8,36,7,4.6,26,avilape01
40,Pedro Avila,27,SDP,8.0,4,4,2,1,0,0,0,0,,0,0,0,0,,9,.171,0,0,4,1,0,3,0,4,2,0,2,0,6.0,32,avilape01
41,Pedro Avila,27,CLE,74.2,50,50,15,5,1,1,1,0,100%,3,1,36,10,28%,7,.416,5,11,34,13,2,35,20,30,31,8,34,7,4.5,26,avilape01
42,Lake Bachar,29,MIA,9.1,10,10,0,0,1,0,0,0,,5,5,4,1,25%,6,1.185,3,3,4,6,1,3,4,6,3,4,3,2,2.8,16,bachala01
43,Bryan Baker,29,BAL,23.1,19,19,4,1,1,0,0,0,,3,3,8,3,38%,8,.522,3,2,14,5,1,13,7,12,8,1,8,1,3.7,19,bakerbr01
44,Anthony Banda*,30,LAD,49.2,48,46,9,3,1,4,2,2,50%,13,9,27,6,22%,6,1.032,15,15,16,21,5,20,18,28,11,11,13,13,3.1,16,bandaan01
45,Tanner Banks*,32,TOT,72.1,63,61,16,2,1,6,2,4,33%,14,8,37,11,30%,,.775,13,19,29,20,4,37,23,38,19,10,24,10,3.4,18,banksta01
46,Tanner Banks*,32,CHW,48.0,41,40,8,2,1,6,2,4,33%,13,7,33,9,27%,7,.977,13,14,13,16,4,20,21,19,15,9,20,8,3.4,19,banksta01
47,Tanner Banks*,32,PHI,24.1,22,21,8,0,0,0,0,0,,1,1,4,2,50%,7,.385,0,5,16,4,0,17,2,19,4,1,4,2,3.3,18,banksta01
48,Scott Barlow,31,CLE,55.0,63,63,15,3,3,3,2,1,67%,22,19,19,9,47%,8,1.200,26,11,26,36,10,17,16,47,4,22,7,13,2.6,16,barlosc01
49,Jacob Barnes,34,WSN,66.0,63,63,5,8,3,3,0,3,0%,5,2,28,9,32%,7,.670,10,14,39,16,5,42,19,44,14,18,16,11,3.1,18,barneja01
50,Matt Barnes,34,WSN,13.1,14,14,8,0,0,0,0,0,,0,0,1,1,100%,9,.287,1,1,12,5,1,8,1,13,0,2,0,3,2.9,17,barnema01
51,Tucker Barnhart,33,ARI,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,8,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,11,barnhtu01
52,Brady Basso*,26,OAK,22.1,7,3,2,0,0,0,0,0,,0,0,1,0,0%,8,1.020,0,1,2,0,0,3,1,2,1,1,1,0,3.3,14,bassobr01
53,Jake Bauers*,28,MIL,4.0,4,4,4,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,4,0,0,4,0,4,0,0,0,0,3.0,19,bauerja01
54,Mike Baumann,28,TOT,58.1,57,57,15,3,1,3,0,3,0%,13,9,28,14,50%,,.768,15,7,35,28,4,25,20,37,12,12,14,10,3.1,19,baumami01
55,Mike Baumann,28,TOT,43.9,45,45,13,3,0,3,0,3,0%,9,6,18,9,50%,,.691,11,6,28,22,4,19,16,29,6,10,8,9,2.9,17,baumami01
56,Mike Baumann,28,TOT,14.1,12,12,2,0,1,0,0,0,,4,3,10,5,50%,,1.009,4,1,7,6,0,6,4,8,6,2,6,1,3.6,26,baumami01
57,Mike Baumann,28,BAL,18.1,17,17,6,1,0,1,0,1,0%,3,2,9,3,33%,8,.550,2,3,12,10,0,7,9,8,5,4,7,2,3.2,18,baumami01
58,Mike Baumann,28,SEA,16.1,18,18,5,2,0,2,0,2,0%,5,3,3,3,100%,8,.865,7,2,9,8,3,7,3,15,0,4,0,5,2.7,15,baumami01
59,Mike Baumann,28,SFG,0.2,1,1,0,0,0,0,0,0,,0,0,0,0,,8,.052,0,0,1,1,0,0,0,1,0,1,0,0,2.0,29,baumami01
60,Mike Baumann,28,LAA,9.1,10,10,2,0,0,0,0,0,,1,1,6,3,50%,8,.670,2,1,7,4,1,5,4,6,1,2,1,2,2.8,18,baumami01
61,Mike Baumann,28,MIA,13.2,11,11,2,0,1,0,0,0,,4,3,10,5,50%,7,1.090,4,1,6,5,0,6,4,7,6,1,6,1,3.7,26,baumami01
62,Eduard Bazardo,28,SEA,27.2,23,23,15,2,0,0,0,0,,0,0,6,1,17%,9,.243,1,0,22,10,1,12,5,18,7,3,8,2,3.6,19,bazared01
63,Tristan Beck,28,SFG,16.0,7,6,2,0,0,0,0,0,,0,0,3,2,67%,9,.494,1,1,4,3,0,3,1,5,4,0,4,0,6.0,28,becktr01
64,David Bednar,29,PIT,57.2,62,62,45,3,8,30,23,7,77%,33,3,5,1,20%,9,1.851,30,12,20,42,8,12,4,58,1,10,1,17,2.8,17,bednada01
65,Tyler Beede,31,CLE,14.0,13,13,3,1,0,0,0,0,,2,2,2,1,50%,8,.857,4,3,6,5,3,5,3,10,3,2,3,2,3.2,20,beedety01
66,Jalen Beeks*,30,TOT,70.0,71,71,27,7,4,19,10,9,53%,27,8,42,17,40%,,1.518,32,12,27,35,7,29,27,44,18,25,20,21,3.0,17,beeksja02
67,Jalen Beeks*,30,COL,49.1,45,45,21,6,4,16,9,7,56%,21,5,26,8,31%,9,1.820,25,8,12,27,6,12,17,28,14,11,16,13,3.3,18,beeksja02
68,Jalen Beeks*,30,PIT,20.2,26,26,6,1,0,3,1,2,33%,6,3,16,9,56%,8,.886,7,4,15,8,1,17,10,16,4,14,4,8,2.4,14,beeksja02
69,Clayton Beeter,25,NYY,3.2,3,3,1,0,0,0,0,0,,0,0,1,1,100%,9,.181,0,0,3,1,0,2,1,2,2,0,2,0,3.7,17,beetecl01
70,Anthony Bender,29,MIA,53.0,59,59,10,5,2,5,1,4,20%,20,15,23,6,26%,7,1.299,18,16,25,28,6,25,19,40,5,17,10,8,2.7,16,bendean01
71,Jonathan Bermúdez*,28,MIA,6.2,3,2,1,0,0,0,0,0,,0,0,1,0,0%,9,.525,0,0,2,1,0,1,1,1,1,0,1,0,7.0,38,bermujo01
72,Brennan Bernardino*,32,BOS,51.0,57,54,4,4,3,2,0,2,0%,17,14,39,10,26%,7,1.373,22,14,18,26,13,15,26,28,12,26,18,15,2.6,15,bernabr01
73,Prelander Berroa,24,CHW,19.0,17,17,3,1,0,0,0,0,,3,3,4,1,25%,8,.945,4,6,7,4,2,11,3,14,6,3,7,0,3.4,20,berropr01
74,Phil Bickford,28,NYY,8.1,8,8,4,0,0,0,0,0,,0,0,2,1,50%,9,.171,0,0,8,1,0,7,2,6,3,2,3,1,3.1,19,bickfph01
75,Osvaldo Bido,28,OAK,63.1,16,7,3,1,0,0,0,0,,1,1,4,1,25%,8,.855,0,3,4,3,0,4,2,5,4,0,4,0,7.6,43,bidoos01
76,Brandon Bielak,28,TOT,29.2,16,16,9,1,0,0,0,0,,0,0,7,5,71%,,.155,0,0,16,2,0,14,4,12,10,2,10,1,5.6,32,bielabr01
77,Brandon Bielak,28,HOU,17.1,10,10,5,0,0,0,0,0,,0,0,4,2,50%,7,.112,0,0,10,2,0,8,2,8,6,1,6,0,5.2,31,bielabr01
78,Brandon Bielak,28,OAK,12.1,6,6,4,1,0,0,0,0,,0,0,3,3,100%,6,.218,0,0,6,0,0,6,2,4,4,1,4,1,6.2,33,bielabr01
79,Hunter Bigge,26,TOT,17.1,19,18,11,0,0,1,1,0,100%,3,2,7,0,0%,,.512,2,2,14,9,0,9,4,14,2,3,2,1,2.8,15,biggehu01
80,Hunter Bigge,26,CHC,3.1,4,4,2,0,0,0,0,0,,0,0,0,0,,9,.177,0,0,4,2,0,2,0,4,0,1,0,1,2.5,18,biggehu01
81,Hunter Bigge,26,TBR,14.0,15,14,9,0,0,1,1,0,100%,3,2,7,0,0%,9,.599,2,2,10,7,0,7,4,10,2,2,2,0,2.9,15,biggehu01
82,Jake Bird,28,COL,40.0,35,35,5,2,2,3,1,2,33%,7,4,19,9,47%,6,.887,10,10,15,8,7,20,13,22,13,10,15,3,3.4,20,birdja01
83,Spencer Bivens,30,SFG,48.2,27,25,8,2,1,1,1,0,100%,3,2,7,3,43%,8,.814,3,10,12,9,5,11,3,22,12,4,12,1,4.7,26,bivensp01
84,Ty Blach*,33,COL,71.1,20,8,4,0,0,1,0,1,0%,1,0,5,3,60%,7,.787,1,2,5,1,0,7,4,4,5,1,6,0,5.6,32,blachty01
85,Mason Black,24,SFG,36.1,9,1,0,0,0,0,0,0,,0,0,1,0,0%,2,.905,0,1,0,0,0,1,1,0,1,0,1,0,8.0,51,blackma01
86,Bradley Blalock,23,TOT,30.2,7,1,0,0,0,0,0,0,,0,0,0,0,,,.930,0,0,1,0,0,1,0,1,0,0,0,0,3.0,23,blalobr01
87,Bradley Blalock,23,MIL,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,8,.220,0,0,1,0,0,1,0,1,0,0,0,0,3.0,23,blalobr01
88,Ronel Blanco,30,HOU,167.1,30,1,1,0,0,0,0,0,,0,0,0,0,,8,.911,0,0,1,1,0,0,0,1,1,0,1,0,6.0,42,blancro01
89,Scott Blewett,28,MIN,20.1,12,12,4,1,1,0,0,0,,0,0,3,2,67%,9,.816,3,0,9,1,2,9,4,8,6,1,6,1,5.1,27,blewesc01
90,Cody Bolton,26,SEA,18.2,17,17,5,0,0,0,0,0,,0,0,11,4,36%,8,.303,1,2,14,4,0,13,6,11,5,3,6,0,3.3,18,boltoco01
91,Cam Booser*,32,BOS,42.2,43,43,7,2,3,3,1,2,33%,10,6,20,12,60%,7,.817,9,13,21,19,5,19,15,28,10,14,12,10,3.0,16,booseca01
92,Ryan Borucki*,30,PIT,11.0,14,14,3,0,0,1,0,1,0%,4,3,8,2,25%,7,.820,2,5,7,5,0,9,4,10,1,5,3,1,2.4,12,borucry01
93,David Bote,31,CHC,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,8,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,15,boteda01
94,Caleb Boushley,30,MIN,4.0,2,2,1,0,0,0,0,0,,0,0,0,0,,7,.152,0,0,2,0,0,2,0,2,2,0,2,0,6.0,32,boushca01
95,Matt Bowman,33,TOT,30.8,25,24,6,1,0,0,0,0,,3,3,16,8,50%,,.485,2,6,16,7,0,17,11,13,11,5,12,4,3.7,20,bowmama01
96,Matt Bowman,33,TOT,24.1,21,20,5,1,0,0,0,0,,3,3,13,5,38%,,.611,2,6,12,6,0,14,9,11,8,5,9,4,3.4,18,bowmama01
97,Matt Bowman,33,MIN,7.2,5,5,1,0,0,0,0,0,,3,3,2,1,50%,8,.770,1,2,2,3,0,2,2,3,3,1,3,1,4.6,24,bowmama01
98,Matt Bowman,33,ARI,6.2,4,4,1,0,0,0,0,0,,0,0,3,3,100%,5,.073,0,0,4,1,0,3,2,2,3,0,3,0,5.0,30,bowmama01
99,Matt Bowman,33,SEA,0.2,1,1,0,0,0,0,0,0,,0,0,1,0,0%,7,.240,0,0,1,0,0,1,1,0,0,1,1,0,2.0,19,bowmama01
100,Matt Bowman,33,BAL,15.2,15,14,4,1,0,0,0,0,,0,0,10,4,40%,7,.559,1,4,9,3,0,11,6,8,5,3,5,3,3.1,16,bowmama01
101,Joe Boyle,24,OAK,47.2,13,3,0,0,0,0,0,0,,1,1,0,0,,6,.964,0,1,2,1,0,2,0,3,2,1,2,0,5.0,39,boylejo01
102,Cody Bradford*,26,TEX,76.1,14,1,0,0,0,0,0,0,,0,0,0,0,,5,.829,0,0,1,0,0,1,0,1,1,0,1,0,6.0,46,bradfco01
103,Ryan Brasier,36,LAD,28.0,29,25,3,1,0,2,0,2,0%,8,6,11,10,91%,6,.909,4,15,6,13,3,9,6,19,2,4,2,4,2.9,12,brasiry01
104,Huascar Brazobán,34,TOT,51.2,39,39,4,1,3,5,0,5,0%,10,5,18,9,50%,,.822,11,10,18,18,3,18,12,27,15,9,17,5,4.0,23,brazohu01
105,Huascar Brazobán,34,MIA,30.2,20,20,1,1,2,3,0,3,0%,5,2,13,9,69%,8,.862,6,7,7,9,2,9,7,13,10,5,11,2,4.6,25,brazohu01
106,Huascar Brazobán,34,NYM,21.0,19,19,3,0,1,2,0,2,0%,5,3,5,0,0%,6,.768,5,3,11,9,1,9,5,14,5,4,6,3,3.3,21,brazohu01
107,John Brebbia,34,TOT,55.1,59,59,22,0,6,5,2,3,40%,18,13,20,9,45%,,1.221,25,9,25,26,11,22,13,46,5,16,6,14,2.8,17,brebbjo01
108,John Brebbia,34,CHW,48.2,54,54,20,0,6,5,2,3,40%,18,13,18,9,50%,8,1.358,25,9,20,24,11,19,12,42,3,15,4,14,2.7,16,brebbjo01
109,John Brebbia,34,ATL,6.2,5,5,2,0,0,0,0,0,,0,0,2,0,0%,9,.079,0,0,5,2,0,3,1,4,2,1,2,0,4.0,22,brebbjo01
110,Colten Brewer,31,CHC,20.2,16,16,8,0,0,2,1,1,50%,3,1,7,5,71%,8,.763,3,1,12,5,0,11,4,12,6,3,7,2,3.9,24,breweco01
111,Beau Brieske,26,DET,67.2,46,34,12,4,2,2,1,1,50%,9,6,18,3,17%,7,1.116,10,11,13,13,7,14,14,20,21,4,21,2,4.5,23,briesbe01
112,Jhony Brito,26,SDP,43.2,26,26,9,1,2,3,0,3,0%,3,0,9,4,44%,8,.457,3,4,19,7,1,18,8,18,16,5,17,3,5.0,24,britojh01
113,Connor Brogdon,29,TOT,3.0,4,4,2,0,1,0,0,0,,0,0,3,3,100%,,1.138,2,0,2,1,1,2,2,2,0,2,0,1,2.3,24,brogdco01
114,Connor Brogdon,29,PHI,2.0,3,3,1,0,1,0,0,0,,0,0,3,3,100%,10,1.394,2,0,1,0,1,2,2,1,0,2,0,1,2.0,25,brogdco01
115,Connor Brogdon,29,LAD,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.422,0,0,1,1,0,0,0,1,0,0,0,0,3.0,21,brogdco01
116,Aaron Brooks,34,OAK,26.2,5,1,1,0,0,0,0,0,,0,0,0,0,,4,.707,0,0,1,0,0,1,0,1,1,0,1,0,15.0,65,brookaa01
117,Ben Brown,24,CHC,55.1,15,7,0,1,0,0,0,0,,1,1,1,0,0%,7,.878,1,3,3,3,2,2,1,6,6,0,6,0,7.0,34,brownbe02
118,Hunter Brown,25,HOU,170.0,31,1,0,0,0,0,0,0,,0,0,0,0,,3,.988,0,0,1,0,0,1,0,1,1,0,1,0,15.0,85,brownhu01
119,Justin Bruihl*,27,PIT,5.2,7,7,0,0,0,1,0,1,0%,1,0,4,1,25%,7,.942,2,1,4,2,1,4,2,5,0,3,1,2,2.4,14,bruihju01
120,Vidal Bruján,26,MIA,1.2,2,2,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,2,0,0,2,0,2,0,1,0,0,2.5,28,brujavi01
121,Zach Brzykcy,24,WSN,5.2,6,6,1,0,0,0,0,0,,0,0,0,0,,7,.034,0,0,6,0,0,6,0,6,0,1,0,1,2.8,17,brzykza01
122,Kris Bubic*,26,KCR,30.1,27,27,7,1,1,4,1,3,25%,11,7,7,2,29%,8,1.374,11,5,11,17,3,7,6,21,6,3,7,2,3.4,17,bubickr01
123,David Buchanan,35,CIN,3.1,1,1,0,0,0,0,0,0,,0,0,0,0,,4,.901,0,0,1,0,0,1,0,1,1,0,1,0,10.0,58,buchada01
124,JB Bukauskas,27,MIL,6.0,6,6,2,0,0,0,0,0,,2,2,3,1,33%,9,.629,1,1,4,4,0,2,2,4,2,2,2,1,3.0,15,bukaujb01
125,Aaron Bummer*,30,ATL,55.1,56,56,13,4,3,3,0,3,0%,5,2,28,10,36%,7,.720,9,13,34,17,5,34,19,37,12,16,18,4,3.0,17,bummeaa01
126,Nick Burdi,31,NYY,9.2,12,12,1,1,0,0,0,0,,4,3,11,6,55%,8,1.100,3,5,4,7,1,4,7,5,2,8,3,1,2.4,18,burdini01
127,Raymond Burgos*,25,SFG,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,4,2.321,0,1,0,0,1,0,0,1,0,0,0,0,3.0,25,burgora01
128,Brock Burke*,27,TOT,34.0,34,33,9,2,0,1,0,1,0%,2,1,13,5,38%,,.781,6,7,20,10,3,20,8,25,5,7,7,5,3.0,17,burkebr01
129,Brock Burke*,27,TEX,13.2,13,13,4,0,0,0,0,0,,0,0,3,2,67%,4,.389,1,3,9,5,0,8,2,11,4,4,4,0,3.2,21,burkebr01
130,Brock Burke*,27,LAA,20.1,21,20,5,2,0,1,0,1,0%,2,1,10,3,30%,8,1.125,5,4,11,5,3,12,6,14,1,3,3,5,2.9,14,burkebr01
131,Sean Burke,24,CHW,19.0,4,1,1,0,0,0,0,0,,0,0,0,0,,7,.840,0,0,1,0,0,1,0,1,1,0,1,0,9.0,53,burkese01
132,Ryan Burr,30,TOR,32.2,34,30,5,0,1,1,0,1,0%,4,3,13,5,38%,8,.671,6,4,20,9,4,17,8,22,5,11,7,5,2.7,15,burrry01
133,Mike Burrows,24,PIT,3.1,1,1,0,1,0,0,0,0,,0,0,0,0,,3,.828,0,1,0,1,0,0,0,1,1,0,1,0,10.0,68,burromi01
134,Alan Busenitz,33,CIN,4.0,3,3,2,0,0,0,0,0,,0,0,0,0,,9,.635,0,0,3,3,0,0,0,3,1,0,1,1,4.0,25,busenal01
135,José Buttó,26,NYM,74.0,30,23,5,6,0,6,3,3,50%,10,4,13,3,23%,7,1.175,14,4,5,14,6,3,9,14,13,1,14,0,4.7,25,buttojo01
136,Génesis Cabrera*,27,TOR,62.2,69,69,10,3,3,5,2,3,40%,18,13,39,12,31%,8,1.127,21,15,33,32,7,30,26,43,7,20,16,12,2.7,15,cabrege01
137,Oswaldo Cabrera,25,NYY,0.1,1,1,1,0,0,0,0,0,,0,0,2,1,50%,9,.003,0,0,1,0,0,1,1,0,0,1,0,0,1.0,12,cabreos01
138,Isaiah Campbell,26,BOS,6.2,8,8,1,0,1,1,0,1,0%,3,2,3,3,100%,7,1.487,5,2,1,4,4,0,3,5,0,2,1,2,2.5,15,campbis01
139,Griffin Canning,28,LAA,171.2,32,1,1,0,0,0,0,0,,0,0,0,0,,3,.818,0,0,1,0,0,1,0,1,1,0,1,0,18.0,74,cannigr01
140,Jonathan Cannon,23,CHW,124.1,23,2,1,0,1,1,1,0,100%,1,0,0,0,,7,.910,0,1,1,1,1,0,0,2,2,0,2,0,13.5,76,cannojo02
141,Yennier Cano,30,BAL,60.0,70,70,12,4,3,8,5,3,63%,42,34,45,17,38%,7,1.832,36,21,13,51,13,6,28,42,9,29,13,16,2.6,14,canoye01
142,Joey Cantillo*,24,CLE,38.2,9,1,1,0,0,0,0,0,,0,0,1,0,0%,8,.873,0,1,0,0,0,1,1,0,1,0,1,0,5.0,18,cantijo01
143,Matt Carasiti,32,COL,8.2,7,7,1,0,1,0,0,0,,2,2,6,1,17%,7,.977,3,2,2,2,2,3,3,4,4,2,4,1,3.7,24,carasma01
144,Ben Casparius,25,LAD,8.1,3,3,0,2,0,0,0,0,,0,0,0,0,,8,.701,1,1,1,1,1,1,0,3,2,0,2,0,8.3,52,caspabe01
145,Humberto Castellanos,26,ARI,10.1,7,7,4,0,0,1,1,0,100%,1,0,7,1,14%,10,.493,2,0,5,1,1,5,3,4,4,2,4,2,4.4,27,castehu01
146,Diego Castillo,30,MIN,10.0,7,7,3,0,0,0,0,0,,0,0,4,4,100%,8,.101,0,0,7,1,0,6,2,5,4,1,4,0,4.3,25,castidi01
147,Miguel Castro,29,ARI,13.2,11,11,2,0,0,0,0,0,,1,1,3,2,67%,7,.471,1,2,8,3,1,7,2,9,5,3,5,1,3.7,21,castrmi01
148,Willi Castro,27,MIN,1.1,2,2,2,0,0,0,0,0,,0,0,1,0,0%,8,.000,0,0,2,0,0,2,1,1,0,1,0,0,2.0,8,castrwi01
149,Slade Cecconi,25,ARI,77.0,20,7,2,0,2,0,0,0,,0,0,3,3,100%,7,.864,0,4,3,1,1,5,2,5,5,1,6,0,6.9,46,ceccosl01
150,Andrew Chafin*,34,TOT,56.1,62,62,13,4,3,4,1,3,25%,17,13,29,10,34%,,1.245,28,8,26,26,17,19,24,38,9,20,17,9,2.7,16,chafian01
151,Andrew Chafin*,34,DET,37.0,41,41,11,3,2,4,1,3,25%,12,8,14,4,29%,8,1.005,16,5,20,20,9,12,11,30,5,12,9,7,2.7,15,chafian01
152,Andrew Chafin*,34,TEX,19.1,21,21,2,1,1,0,0,0,,5,5,15,6,40%,7,1.708,12,3,6,6,8,7,13,8,4,8,8,2,2.8,17,chafian01
153,Aroldis Chapman*,36,PIT,61.2,68,68,18,5,5,19,14,5,74%,42,22,20,2,10%,8,1.799,42,16,10,48,15,5,11,57,1,15,2,14,2.7,17,chapmar01
154,JT Chargois,33,TOT,36.1,36,36,9,3,1,2,0,2,0%,4,2,17,5,29%,,.544,5,9,22,8,4,24,12,24,9,8,10,5,3.0,15,chargjt01
